seller_id,month_index,revenue
02c988090b766852e088c69d7fb3b551,16,101.73
02c988090b766852e088c69d7fb3b551,17,46.75
02c988090b766852e088c69d7fb3b551,19,199.75
02c988090b766852e088c69d7fb3b551,20,194.9
02c988090b766852e088c69d7fb3b551,21,199.97
02c988090b766852e088c69d7fb3b551,22,193.19
02c988090b766852e088c69d7fb3b551,23,183.12
02d35243ea2e497335cd0f076b45675d,7,538.04
02d35243ea2e497335cd0f076b45675d,9,280.27
02d35243ea2e497335cd0f076b45675d,11,1449.91
02d35243ea2e497335cd0f076b45675d,12,280.27
02d35243ea2e497335cd0f076b45675d,14,1221.56
02d35243ea2e497335cd0f076b45675d,15,1996.32
02d35243ea2e497335cd0f076b45675d,18,330.12
02d35243ea2e497335cd0f076b45675d,23,303.46
02dcd3e8e25bee036e32512bcf175493,13,180.57999999999998
02dcd3e8e25bee036e32512bcf175493,17,273.87
02dcd3e8e25bee036e32512bcf175493,18,513.5699999999999
02dcd3e8e25bee036e32512bcf175493,19,208.76999999999998
02dcd3e8e25bee036e32512bcf175493,22,221.48
02dcd3e8e25bee036e32512bcf175493,23,405.8
02ecc2a19303f05e59ce133fd923fff7,9,167.20000000000002
02ecc2a19303f05e59ce133fd923fff7,12,491.23
02ecc2a19303f05e59ce133fd923fff7,14,915.84
02ecc2a19303f05e59ce133fd923fff7,15,972.0899999999999
02ecc2a19303f05e59ce133fd923fff7,16,512.03
02ecc2a19303f05e59ce133fd923fff7,17,327.72
02ecc2a19303f05e59ce133fd923fff7,18,1214.44
02ecc2a19303f05e59ce133fd923fff7,19,231.38
02ecc2a19303f05e59ce133fd923fff7,20,444.56
02ecc2a19303f05e59ce133fd923fff7,22,324.65999999999997
02ecc2a19303f05e59ce133fd923fff7,23,141.25
02f5837340d7eb4f653d676c7256523a,14,786.98
02f5837340d7eb4f653d676c7256523a,15,1031.05
02f5837340d7eb4f653d676c7256523a,16,1767.79
02f5837340d7eb4f653d676c7256523a,18,201.45
02f5837340d7eb4f653d676c7256523a,19,134.38
02f5837340d7eb4f653d676c7256523a,21,266.03
02f5837340d7eb4f653d676c7256523a,22,138.1
02f5837340d7eb4f653d676c7256523a,23,138.1
02f623a8eb246f3c5f7c2f96462654e6,19,323.07
02f623a8eb246f3c5f7c2f96462654e6,20,623.5500000000001
02f623a8eb246f3c5f7c2f96462654e6,21,1322.71
02f623a8eb246f3c5f7c2f96462654e6,22,2509.21
02f623a8eb246f3c5f7c2f96462654e6,23,2429.09
0307f7565ff85b299b6e5ef162b1b1a9,1,27.86
0307f7565ff85b299b6e5ef162b1b1a9,5,2365.24
0307f7565ff85b299b6e5ef162b1b1a9,6,1959.8400000000001
0307f7565ff85b299b6e5ef162b1b1a9,8,650.63
0336182e1b3e92f029d5354832045fdf,1,47.370000000000005
034b9387752bfa309f350a70cd45ffa3,19,120.13
034b9387752bfa309f350a70cd45ffa3,21,30.23
034b9387752bfa309f350a70cd45ffa3,22,59.67
034b9387752bfa309f350a70cd45ffa3,23,30.23
038b75b729c8a9a04b0d07cba7eabe86,19,557.8499999999999
039b29ff3b3473435d0cd59040575de9,19,40.42
039b29ff3b3473435d0cd59040575de9,20,38.95
039b29ff3b3473435d0cd59040575de9,21,16.29
039b29ff3b3473435d0cd59040575de9,22,24.29
039b29ff3b3473435d0cd59040575de9,23,95.6
039e6ad9dae79614493083e241147386,19,4939.7
039e6ad9dae79614493083e241147386,20,6595.55
039e6ad9dae79614493083e241147386,22,1738.17
03a2a6dcbe45d639c4dc2a0d24769c40,18,478.9
03a2a6dcbe45d639c4dc2a0d24769c40,19,162.85
03a2a6dcbe45d639c4dc2a0d24769c40,21,253.77
03a2a6dcbe45d639c4dc2a0d24769c40,23,355.14
03bd479e1d9484cdb14104d3023f7321,20,142.45000000000002
03bd479e1d9484cdb14104d3023f7321,22,274.97
0417b067eeab773d2f7061a726dc477f,18,513.02
0417b067eeab773d2f7061a726dc477f,19,150.82999999999998
0417b067eeab773d2f7061a726dc477f,20,615.06
0417b067eeab773d2f7061a726dc477f,22,93.59
0417b067eeab773d2f7061a726dc477f,23,1129.25
042573af89b6d931f672efaf789d8358,16,272.15
042573af89b6d931f672efaf789d8358,17,206.42000000000002
04308b1ee57b6625f47df1d56f00eedf,14,4148.68
04308b1ee57b6625f47df1d56f00eedf,15,4436.360000000001
04308b1ee57b6625f47df1d56f00eedf,16,666.27
04308b1ee57b6625f47df1d56f00eedf,17,7193.26
04308b1ee57b6625f47df1d56f00eedf,18,15562.699999999999
04308b1ee57b6625f47df1d56f00eedf,19,4466.9400000000005
04308b1ee57b6625f47df1d56f00eedf,21,516.66
04308b1ee57b6625f47df1d56f00eedf,22,17167.38
04308b1ee57b6625f47df1d56f00eedf,23,9026.74
0432ead42b6c8a0bdf68154add917fdf,7,1090.9
0432ead42b6c8a0bdf68154add917fdf,8,1878.5600000000002
0432ead42b6c8a0bdf68154add917fdf,9,820.63
0432ead42b6c8a0bdf68154add917fdf,10,468.59000000000003
0432ead42b6c8a0bdf68154add917fdf,11,562.84
0432ead42b6c8a0bdf68154add917fdf,12,848.55
0432ead42b6c8a0bdf68154add917fdf,13,761.36
0432ead42b6c8a0bdf68154add917fdf,14,883.88
0432ead42b6c8a0bdf68154add917fdf,15,820.5
0432ead42b6c8a0bdf68154add917fdf,16,253.29000000000002
0432ead42b6c8a0bdf68154add917fdf,17,175.42000000000002
0432ead42b6c8a0bdf68154add917fdf,18,318.75
0432ead42b6c8a0bdf68154add917fdf,20,72.94
0432ead42b6c8a0bdf68154add917fdf,22,43.41
044668ccd5316b12a7cf0d54a156e3e9,23,191.35
04843805947f0fc584fc1969b6e50fe7,23,1474.76
048c2757535328e0d7dac690ad3c0aae,6,1017.2099999999999
048c2757535328e0d7dac690ad3c0aae,7,578.91
048c2757535328e0d7dac690ad3c0aae,8,214.11999999999998
048c2757535328e0d7dac690ad3c0aae,10,570.87
048c2757535328e0d7dac690ad3c0aae,11,218.35
048c2757535328e0d7dac690ad3c0aae,12,351.38
048c2757535328e0d7dac690ad3c0aae,13,886.54
048c2757535328e0d7dac690ad3c0aae,14,614.95
048c2757535328e0d7dac690ad3c0aae,15,394.61
048c2757535328e0d7dac690ad3c0aae,16,118.63
048c2757535328e0d7dac690ad3c0aae,17,592.81
048c2757535328e0d7dac690ad3c0aae,18,949.0699999999999
048c2757535328e0d7dac690ad3c0aae,19,935.3799999999999
048c2757535328e0d7dac690ad3c0aae,20,1010.24
048c2757535328e0d7dac690ad3c0aae,21,802.74
048c2757535328e0d7dac690ad3c0aae,22,760.81
048c2757535328e0d7dac690ad3c0aae,23,534.4399999999999
04aa0a1c5ce6b222003403a3e11c3cc0,6,359.67
04aa0a1c5ce6b222003403a3e11c3cc0,7,227.28
04aa0a1c5ce6b222003403a3e11c3cc0,8,2024.05
04aa0a1c5ce6b222003403a3e11c3cc0,10,397.03
04aa0a1c5ce6b222003403a3e11c3cc0,11,403.05
04aa0a1c5ce6b222003403a3e11c3cc0,12,2721.41
04aa0a1c5ce6b222003403a3e11c3cc0,16,207.01999999999998
04aba03279157f6d4e0fe8ccaf21963c,8,317.5
04aba03279157f6d4e0fe8ccaf21963c,11,132.05
04aba03279157f6d4e0fe8ccaf21963c,13,243.10999999999999
04aba03279157f6d4e0fe8ccaf21963c,14,316.4
